laʔ
kɑɑ
kɑɑ
kɑɑ
kɑɑk
kɑk
kɑkkdav
kɑksɑk
kɑkət
kɑkou
kɑɑkaət
kɑkvɑk
kɑɑŋ
kɑŋ
kɑŋhaa
kɑɲcɑk
kɑɲcɑp
kɑɲcraeŋ
kaɲɲaa
kaɲɲaa
kɑmdɑɑ
kɑɑday
kɑɑdaoy
kɑmnɑɑk
kɑmnɑt
kɑndaal
kɑndəŋ
kɑndiəv
kɑndao
kɑnəkaa
kɑt
kɑttraa
kɑntrɑɑk
kɑntray
kɑntraykatkrɑcɑɑk
kɑntʊək
kɑntuy
kɑnteel
kɑntʰʊən
kɑnnikaa
kɑnlah
kɑnlɑɑŋ
kɑnlaeŋ
kɑnlaeŋtvəəkaa
kɑnsaeŋ
kɑnsaeŋpʊəhkoo
kɑp
kaʔpal
kɑmpət
kɑmpoŋ
kɑmplee
kɑmplaeŋ
kɑmpʊəŋtʰom
kɑmpʊəŋpʰae
kɑmpɔɔt
kɑmpup
kɑmpuŋ
kɑmpuŋtae
kɑmpuulpnum
kɑmcat
kɑmdav
kɑmtɨc
kɑmtɨckɑmtii
kɑmpʊəh
kampuʔcie
kampuʔciekraom
kammaʔkɑɑ
kɑmrɑɑ
kɑmraal
kɑmraalprum
kɑmraalʔt
kɑmrɨt
kɑmraək
kɑmlaŋ
kɑmsaan
kaʔraʔnəy
kaʔseʔkam
kaʔseʔkɑɑ
kɑmsiəv
kɑmhoh
kɑmloŋ
kɑɑʔaav
kaa
kam
kak
kamkɑŋ
kaaksɑmnɑl
kaac
kaccɑŋkout
kamcʊəndaə
kaadou
kaanout
kaat
kat
katcət
kattɑmlay
katbɑntʰɑɑy
kaataap
kaatɨk
kan
kantae
kambət
kaaboup
kampləəŋ
kaameeraa
kaay
kaayviʔkaa
kaa
kaaŋie
kaarattʰaan
kaatoŋ
kaatuut
kaapie
kaaveahkat
kaasksaa
kaareʔyaalay
kaarii
kaarot
karou
kaaree
kaal
kaalpii
kaalpiikmeeŋ
kaalpiimun
kaalsaʔmay
kaav
kaah
kaasaet
kaasyou
kaafee
kəckaa
kən
